Отметка времени,"1. Название района республики, в котором Вы проживаете:","2. Название города (села или другого населенного пункта), в котором Вы проживаете",3. Тип населенного пункта,4. Ваш пол:,5. Ваш возраст (количество полных лет):,6. Уровень Вашего образования (ОДИН ответ):,7. Каков Ваш социальный статус (ОДИН ответ)?,8. Каков Ваш социальный статус (ОДИН ответ)?,9. Каков Ваш социальный статус (ОДИН ответ)?,10. Каков Ваш социальный статус (ОДИН ответ)?,11. Каков Ваш социальный статус (ОДИН ответ)?,12. Ваше семейное положение (ОДИН ответ):,13. Какое высказывание точнее описывает материальное положение Вашей семьи в настоящее время (ОДИН ответ)?,"14. Как Вы считаете, большинству людей можно доверять или в отношениях с людьми следует быть осторожными (ОДИН ОТВЕТ)?","15. Если говорить о людях, которые окружают лично Вас, большинству из них можно доверять или в отношениях с ними стоит быть осторожными?",[Телевидение],[Телевидение].1,[Объединенный] Телевидение,[Интернет-издания],[Интернет-издания].1,[Объединенный] Интернет-издания,[Социальные сети],[Социальные сети].1,[Объединенный] Социальные сети,[Друзья],[Друзья].1,[Объединенный] Друзья,[Газеты],[Газеты].1,[Объединенный] Газеты,[Радио],[Радио].1,[Объединенный] Радио,[Журналы],[Журналы].1,[Объединенный] Журналы,[Телеграм-каналы],[Телеграм-каналы].1,[Объединенный] Телеграм-каналы,"16. Вспомните, пожалуйста, названия двух-трех конкретных источников, из которых Вы обычно получаете новости (напишите)?","17. Скажите, пожалуйста, Вы слышали или не слышали выражение «фейковые новости» (ОДИН ответ)?","18. Что такое «фейковые новости»? Расскажите в двух-трех словах, как Вы понимаете это выражение (напишите)?","19. Скажите, сталкивались ли Вы за последний год с подобного рода сообщениями, и если да, то как часто (ОДИН ответ)?","20. Скажите, где Вы чаще всего за последний год сталкивались с выдуманными, фейковыми новостями (не более ТРЕХ ответов)?","21. Скажите, где Вы чаще всего за последний год сталкивались с выдуманными, фейковыми новостями (не более ТРЕХ ответов)?","22. Скажите, где Вы чаще всего за последний год сталкивались с выдуманными, фейковыми новостями (не более ТРЕХ ответов)?","23. Скажите, где Вы чаще всего за последний год сталкивались с выдуманными, фейковыми новостями (не более ТРЕХ ответов)?","24. Как Вы думаете, в тех источниках, где Вы обычно узнаете новости, фейковая, недостоверная информация встречается чаще или реже, чем везде?","25. Скажите, проверяете ли Вы или нет новости на достоверность, правдивость, прежде чем поделиться ими с друзьями?","26. Назовите, пожалуйста, хотя бы одну выдуманную, фейковую новость, которая Вам запомнилась больше всего (напишите)?","27. Вспомните, попадали ли Вы за последний год в такую ситуацию, когда Вы поверили какой-либо информации?","28. Скажите, а случалось ли такое, что Вы поделились какой-либо информацией с друзьями, родственниками, знакомыми?","29. Как Вы думаете, большинство людей могут или нет отличить выдуманные, фейковые новости от правдивых, достоверных (ОДИН ответ)?","30. Как Вы думаете, Вы лично чаще всего можете или нет отличить выдуманные, фейковые новости от правдивых, достоверных (ОДИН ответ)?","31. По каким признакам можно отличить выдуманную, фейковую новость от правдивой, достоверной? На что полагаетесь лично Вы (напишите)?","32. По каким признакам можно отличить выдуманную, фейковую новость от правдивой, достоверной? На что полагаетесь лично Вы (напишите)?","33. По каким признакам можно отличить выдуманную, фейковую новость от правдивой, достоверной? На что полагаетесь лично Вы (напишите)?","34. По каким признакам можно отличить выдуманную, фейковую новость от правдивой, достоверной? На что полагаетесь лично Вы (напишите)?","35. Какие признаки, напротив, отличают правдивую, достоверную новость от выдуманной, фейковой? На что полагаетесь лично Вы (напишите)?",Великобритания,Германия,Китай,Латвия,Польша,Россия,Северная Корея,Сербия,США,Турция,Украина,Финляндия,Франция,Эстония
4.28.2023 11:01:22,25,Саранск,1. Саранск,2. Женский,35,"4. Незаконченное высшее, высшее, ученая степень",1. Работаю по найму в бюджетной сфере,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",2. В отношениях с людьми следует быть осторожными,1. Большинству людей можно доверять,3. Не доверяю,#NULL!,Не доверяю,3. Не доверяю,#NULL!,Не доверяю,3. Не доверяю,#NULL!,Не доверяю,1. Пользуюсь,#NULL!,Пользуюсь,3. Не доверяю,#NULL!,Не доверяю,3. Не доверяю,#NULL!,Не доверяю,3. Не доверяю,#NULL!,Не доверяю,3. Не доверяю,#NULL!,Не доверяю,,"1. Знаю, что это такое",недостоверная информация,3. По нескольку раз в месяц,"2. Интернет-издания (газеты, журналы, информационные порталы)",3. Социальные сети,"4. Друзья, родные, знакомые",,3. Скорее реже,4. Никогда не проверяю,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,На комментарии,98. Другие признаки,#NULL!,#NULL!,"Фотоотчеты, газеты, телевидение",5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
5.10.2023 14:33:31,10) Ичалковский район,с.Рождествено,3. Села,2. Женский,63,"4. Незаконченное высшее, высшее, ученая степень","6. Пенсионер, инвалид на пенсии",#NULL!,#NULL!,#NULL!,,2. Холост (не замужем),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",2. В отношениях с людьми следует быть осторожными,2. В отношениях с людьми следует быть осторожными,2. Доверяю,#NULL!,Доверяю,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,2. Доверяю,#NULL!,Доверяю,1. Пользуюсь,#NULL!,Пользуюсь,2. Доверяю,#NULL!,Доверяю,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,Первый канал,"1. Знаю, что это такое",,2. По нескольку раз в неделю,"2. Интернет-издания (газеты, журналы, информационные порталы)",3. Социальные сети,8. Телеграм-каналы,,2. Скорее чаще,1. Обязательно проверяю,,4. Определенно нет,4. Определенно нет,4. Почти всегда не могут отличить,4. Почти всегда не могут отличить,Больше похожа на не правду,98. Другие признаки,#NULL!,#NULL!,Реальность,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,3. В большинстве случаев не могут отличить «фейковые новости»,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
5.10.2023 16:43:07,15) Лямбирский район,Лямбирь,3. Села,2. Женский,24,"4. Незаконченное высшее, высшее, ученая степень",3. Государственный или муниципальный служащий,#NULL!,#NULL!,#NULL!,,2. Холост (не замужем),"2. На питание денег хватает, но одежду, обувь купить не можем",2. В отношениях с людьми следует быть осторожными,2. В отношениях с людьми следует быть осторожными,0,#NULL!,#NULL!,0,#NULL!,#NULL!,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,"Вконтакте: группа Госдумы РФ,  официальный сайт Роспотребнадзора","1. Знаю, что это такое",Ложь,2. По нескольку раз в неделю,1. Телевидение,"2. Интернет-издания (газеты, журналы, информационные порталы)",3. Социальные сети,,5. Затрудняюсь ответить,"3. Все зависит от ситуации: иногда — проверяю, иногда — нет",сво,2. Скорее да,4. Определенно нет,3. В большинстве случаев не могут отличить,3. В большинстве случаев не могут отличить,Все будет хорошо и ничего за это не будет,98. Другие признаки,#NULL!,#NULL!,Проверка несколько источников,2. В большинстве случаев могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»,5. Затрудняюсь ответить,4. Почти всегда не могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»
5.10.2023 16:49:02,15) Лямбирский район,Лямбирь,3. Села,2. Женский,33,"4. Незаконченное высшее, высшее, ученая степень",1. Работаю по найму в бюджетной сфере,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"2. На питание денег хватает, но одежду, обувь купить не можем",2. В отношениях с людьми следует быть осторожными,1. Большинству людей можно доверять,0,#NULL!,#NULL!,1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,,"1. Знаю, что это такое",Ложная или вводящая в заблуждение информация,4. Несколько раз в год,3. Социальные сети,"4. Друзья, родные, знакомые",#NULL!,,5. Затрудняюсь ответить,"3. Все зависит от ситуации: иногда — проверяю, иногда — нет",Продажа парфюмерной (отравленной) продукции и распыление газа в магазинах,1. Безусловно да,4. Определенно нет,3. В большинстве случаев не могут отличить,2. В большинстве случаев могут отличить,Жду опровержения,98. Другие признаки,#NULL!,#NULL!,Показывают по телевидению,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»
4.28.2023 13:06:03,23) Городской округ Саранск,Саранск,1. Саранск,2. Женский,55,"4. Незаконченное высшее, высшее, ученая степень",1. Работаю по найму в бюджетной сфере,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"5. На автомобиль денег хватает, но квартиру или дом купить не можем",2. В отношениях с людьми следует быть осторожными,2. В отношениях с людьми следует быть осторожными,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,0,#NULL!,#NULL!,0,#NULL!,#NULL!,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,"Первый канал, Нтв, канал Россия, газета Известия Мордовии","1. Знаю, что это такое","Неправдивые новости, включающие ложную информацию",3. По нескольку раз в месяц,"2. Интернет-издания (газеты, журналы, информационные порталы)",3. Социальные сети,8. Телеграм-каналы,,5. Затрудняюсь ответить,4. Никогда не проверяю,,4. Определенно нет,4. Определенно нет,1. Практически всегда могут отличить,1. Практически всегда могут отличить,Должна быть определенная мотивация,98. Другие признаки,#NULL!,#NULL!,Подтверждающие информационные факты,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,2. В большинстве случаев могут отличить «фейковые новости»,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
4.14.2023 15:55:03,23) Городской округ Саранск,Саранск,1. Саранск,2. Женский,54,"4. Незаконченное высшее, высшее, ученая степень",1. Работаю по найму в бюджетной сфере,#NULL!,#NULL!,#NULL!,,3. Разведен (разведена),"2. На питание денег хватает, но одежду, обувь купить не можем",3. Затрудняюсь ответить,3. Затрудняюсь ответить,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,,"2. Слышал, но подробностей не знаю",,5. Не сталкивался,"9. Не сталкивался с выдуманными, фейковыми новостями",#NULL!,#NULL!,,5. Затрудняюсь ответить,2. Если есть возможность — проверяю,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,Интонация голоса,98. Другие признаки,#NULL!,#NULL!,По голосу,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
5.6.2023 9:19:40,16) Рузаевский район,Ромоданово,3. Села,2. Женский,41,"4. Незаконченное высшее, высшее, ученая степень",3. Государственный или муниципальный служащий,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",1. Большинству людей можно доверять,1. Большинству людей можно доверять,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,"Телеканал ""Звезда"",ТВЦ ""СПАС""","1. Знаю, что это такое",не правильные новости,4. Несколько раз в год,3. Социальные сети,#NULL!,#NULL!,,2. Скорее чаще,2. Если есть возможность — проверяю,,3. Скорее нет,3. Скорее нет,2. В большинстве случаев могут отличить,2. В большинстве случаев могут отличить,По содержанию новости,98. Другие признаки,#NULL!,#NULL!,обращаю внимание на содержание новости,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»
4.28.2023 15:36:51,24,Саранск,1. Саранск,1. Мужской,21,"4. Незаконченное высшее, высшее, ученая степень","5. Студент, учащийся",#NULL!,#NULL!,#NULL!,,2. Холост (не замужем),"4. На бытовую технику денег хватает, но автомобиль купить не можем",2. В отношениях с людьми следует быть осторожными,1. Большинству людей можно доверять,1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",контакт. телеграмм,"1. Знаю, что это такое","Не достоверная, извращенная информация, поданная как достоверная и провереная",1. Практически ежедневно,"2. Интернет-издания (газеты, журналы, информационные порталы)",3. Социальные сети,#NULL!,,3. Скорее реже,2. Если есть возможность — проверяю,,1. Безусловно да,1. Безусловно да,3. В большинстве случаев не могут отличить,2. В большинстве случаев могут отличить,"по первоисточнику информации, кто и как распространяет, соответствие очевидным среднестатистическим тенденциям  и отклонение от них.",98. Другие признаки,#NULL!,#NULL!,"о первоисточнику информации, кто и как распространяет,  соответствие какой то прошлой исторической цепочки перед этим событием.",2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»
4.28.2023 13:06:34,23) Городской округ Саранск,Саранск,1. Саранск,1. Мужской,22,"4. Незаконченное высшее, высшее, ученая степень","5. Студент, учащийся",#NULL!,#NULL!,#NULL!,,2. Холост (не замужем),"4. На бытовую технику денег хватает, но автомобиль купить не можем",2. В отношениях с людьми следует быть осторожными,1. Большинству людей можно доверять,3. Не доверяю,#NULL!,Не доверяю,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,2. Доверяю,#NULL!,Доверяю,3. Не доверяю,#NULL!,Не доверяю,3. Не доверяю,#NULL!,Не доверяю,3. Не доверяю,#NULL!,Не доверяю,2. Доверяю,#NULL!,Доверяю,"ОРТ, телеграмм-канал","1. Знаю, что это такое",Неверная информация,1. Практически ежедневно,1. Телевидение,"2. Интернет-издания (газеты, журналы, информационные порталы)",3. Социальные сети,,4. Безусловно реже,2. Если есть возможность — проверяю,Войска РФ ворую украинские унитазы,5. Затрудняюсь ответить,5. Затрудняюсь ответить,2. В большинстве случаев могут отличить,2. В большинстве случаев могут отличить,"вкупе. новости могут и не поддаваться анализу, а могут быть поданы с невыгодного и приукрашенного  ракурса.",98. Другие признаки,#NULL!,#NULL!,никаких признаков. только личные знания и фактчекинг,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,5. Затрудняюсь ответить,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»
4.28.2023 11:06:39,23) Городской округ Саранск,Долгопрудный,1. Саранск,2. Женский,22,"4. Незаконченное высшее, высшее, ученая степень","5. Студент, учащийся",#NULL!,#NULL!,#NULL!,,2. Холост (не замужем),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",2. В отношениях с людьми следует быть осторожными,1. Большинству людей можно доверять,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,3. Не доверяю,#NULL!,Не доверяю,3. Не доверяю,#NULL!,Не доверяю,1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",3. Не доверяю,#NULL!,Не доверяю,3. Не доверяю,#NULL!,Не доверяю,,"2. Слышал, но подробностей не знаю",,3. По нескольку раз в месяц,"2. Интернет-издания (газеты, журналы, информационные порталы)",3. Социальные сети,#NULL!,,3. Скорее реже,1. Обязательно проверяю,,3. Скорее нет,4. Определенно нет,3. В большинстве случаев не могут отличить,2. В большинстве случаев могут отличить,На мнение компетентного человека,98. Другие признаки,#NULL!,#NULL!,"Нет конкретики, доказательств",4. Почти всегда не могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»
